Time cost,Fees,Rel
3815.782589381076,173.90312,0.01
3815.782589381076,173.90312,0.01
3707.9305130755006,231.83471500000002,0.01
3354.7711735061193,264.093475,0.01
3455.9246364290857,200.23685,0.01
3354.7711735061193,264.093475,0.01
3455.9246364290857,200.23685,0.01
3455.9246364290857,200.23685,0.01
3354.7711735061193,264.093475,0.01
3698.3319366450683,174.812105,0.01
3354.7711735061193,264.093475,0.01
3455.9246364290857,200.23685,0.01
3455.9246364290857,200.23685,0.01
3455.9246364290857,200.23685,0.01
4010.5688715198307,156.67754000000002,0.01
4194.372204881954,220.414175,0.01
3455.9246364290857,200.23685,0.01
3354.7711735061193,264.093475,0.01
3805.7553012284047,185.28623000000002,0.01
3354.7711735061193,264.093475,0.01
3354.7711735061193,264.093475,0.02
3455.9246364290857,200.23685,0.02
3707.9305130755006,231.83471500000002,0.02
4480.592268907564,163.65247499999998,0.02
3354.7711735061193,264.093475,0.02
3354.7711735061193,264.093475,0.02
3455.9246364290857,200.23685,0.02
3354.7711735061193,264.093475,0.02
4287.366508279339,205.775825,0.02
3354.7711735061193,264.093475,0.02
4242.159543817528,156.55755,0.02
4242.159543817528,156.55755,0.02
3354.7711735061193,264.093475,0.02
3815.782589381076,173.90312,0.02
3354.7711735061193,264.093475,0.02
3965.859901124457,240.872565,0.02
3354.7711735061193,264.093475,0.02
3354.7711735061193,264.093475,0.02
3354.7711735061193,264.093475,0.02
4242.159543817528,156.55755,0.02
3354.7711735061193,264.093475,0.03
3354.7711735061193,264.093475,0.03
4242.159543817528,156.55755,0.03
3354.7711735061193,264.093475,0.03
3455.9246364290857,200.23685,0.03
3354.7711735061193,264.093475,0.03
3805.7553012284047,185.28623000000002,0.03
4242.159543817528,156.55755,0.03
3354.7711735061193,264.093475,0.03
3812.9926551627846,150.19503,0.03
3455.9246364290857,200.23685,0.03
3354.7711735061193,264.093475,0.03
3812.9926551627846,150.19503,0.03
4209.4441007194255,57.406250000000014,0.03
3455.9246364290857,200.23685,0.03
4242.159543817528,156.55755,0.03
4242.159543817528,156.55755,0.03
4242.159543817528,156.55755,0.03
3354.7711735061193,264.093475,0.03
3354.7711735061193,264.093475,0.03
4194.372204881954,220.414175,0.04
3934.4609832134292,55.67727000000001,0.04
4404.650280777539,154.802075,0.04
3455.9246364290857,200.23685,0.04
3695.978995188298,193.93655499999997,0.04
3354.7711735061193,264.093475,0.04
3354.7711735061193,264.093475,0.04
3456.0246364290856,200.23685,0.04
3354.7711735061193,264.093475,0.04
3455.9246364290857,200.23685,0.04
3354.7711735061193,264.093475,0.04
4019.400911270983,76.435972,0.04
4242.159543817528,156.55755,0.04
4287.366508279339,205.775825,0.04
3455.9246364290857,200.23685,0.04
3812.9926551627846,150.19503,0.04
3354.7711735061193,264.093475,0.04
4078.575136155181,159.23288000000002,0.04
3455.9246364290857,200.23685,0.04
4357.514099913348,93.80676500000001,0.04
3455.9246364290857,200.23685,0.05
3978.52448441247,47.29571,0.05
3455.9246364290857,200.23685,0.05
3698.3319366450683,174.812105,0.05
4242.159543817528,156.55755,0.05
3354.7711735061193,264.093475,0.05
4601.952470023983,26.273060000000005,0.05
3455.9246364290857,200.23685,0.05
3978.52448441247,47.29571,0.05
3815.782589381076,173.90312,0.05
4404.650280777539,154.802075,0.05
4459.003225290117,137.33644999999999,0.05
3354.7711735061193,264.093475,0.05
3812.9926551627846,150.19503,0.05
3354.7711735061193,264.093475,0.05
3455.9246364290857,200.23685,0.05
3455.9246364290857,200.23685,0.05
3455.9246364290857,200.23685,0.05
3455.9246364290857,200.23685,0.05
3607.954915238435,196.522515,0.05
