Experiment ID,Episode,Execution Time (seconds),Time Cost,Find
200-0,200,0.3769400119781494,99600948.18821733,False
51,200,0,0,False
200-2,200,0.4060351848602295,99600900.97306025,False
200-3,200,0.355942964553833,1340.9079255872407,True
51,200,0,0,False
200-5,200,0.3770179748535156,738.7632468723815,True
200-6,200,0.40100812911987305,99700630.34895119,False
200-7,200,0.38834214210510254,99500579.09033707,False
51,200,0,0,False
200-9,200,0.36553502082824707,99700689.94904782,False
200-10,200,0.3860611915588379,99500769.66305052,False
51,200,0,0,False
200-12,200,0.3739018440246582,99700771.2132734,False
200-13,200,0.37081193923950195,99700406.66038182,False
51,200,0,0,False
200-15,200,0.35599803924560547,740.1090726383297,True
200-16,200,0.4094810485839844,99700679.73253599,False
200-17,200,0.38395190238952637,1304.3828512494124,True
200-18,200,0.39021778106689453,1108.7567108138214,True
200-19,200,0.39618825912475586,99700832.42359743,False
200-20,200,0.4077761173248291,99600551.65228787,False
200-21,200,0.3362541198730469,1151.3216546013653,True
200-22,200,0.3849189281463623,99800086.86273532,False
200-23,200,0.38024091720581055,99501287.27207807,False
200-24,200,0.34691810607910156,99700330.1038224,False
200-25,200,0.39627504348754883,99500507.4849027,False
200-26,200,0.4213531017303467,99700455.57693239,False
200-27,200,0.3853158950805664,1022.2906891438854,True
200-28,200,0.47374582290649414,503.6583333333333,True
200-29,200,0.39914608001708984,324.6583333333333,True
51,200,0,0,False
200-31,200,0.3557910919189453,835.7683413483531,True
200-32,200,0.37429189682006836,99700324.89227277,False
200-33,200,0.3957521915435791,99800659.70528337,False
200-34,200,0.27999210357666016,689.8684879707278,True
200-35,200,0.37614917755126953,99800560.78096238,False
200-36,200,0.35942697525024414,616.5833333333331,True
200-37,200,0.39449501037597656,99700489.57718539,False
200-38,200,0.37272000312805176,99800297.86808357,False
200-39,200,0.34955596923828125,1339.2252761626792,True
200-40,200,0.3796727657318115,99500623.1721442,False
200-41,200,0.38335371017456055,99401410.47329947,False
200-42,200,0.3008120059967041,1530.895220941402,True
200-43,200,0.383375883102417,99301086.47232153,False
200-44,200,0.37929797172546387,99700496.07070124,False
200-45,200,0.3557868003845215,99400713.86198182,False
200-46,200,0.3606109619140625,99600617.82396269,False
51,200,0,0,False
200-48,200,0.3654148578643799,684.1944779116465,True
200-49,200,0.4018082618713379,99700334.90203986,False
400-0,400,0.7553901672363281,1289.6386096198457,True
51,400,0,0,False
400-2,400,0.8053169250488281,99800276.03295413,False
400-3,400,0.6967208385467529,99700601.12818258,False
51,400,0,0,False
400-5,400,0.7839958667755127,568.223749955351,True
400-6,400,0.7400052547454834,99700665.18066032,False
400-7,400,0.6844768524169922,792.2166666666668,True
51,400,0,0,False
400-9,400,0.7241311073303223,959.8916666666667,True
400-10,400,0.7194230556488037,1158.5910072566924,True
51,400,0,0,False
400-12,400,0.7023918628692627,1149.943139321549,True
400-13,400,0.8610150814056396,475.36421585623066,True
51,400,0,0,False
400-15,400,0.6577363014221191,691.441287451966,True
400-16,400,0.8399529457092285,935.8999999999997,True
