Experiment ID,Number of Ants,Execution Time (seconds),Travel Time Cost (seconds)
350-1,350,0.6292390823364258,4170.955481548154
350-2,350,0.6260161399841309,4411.0080768076805
350-3,350,0.6280429363250732,4225.1016049382715
350-4,350,0.6199939250946045,4337.886792679267
350-5,350,0.6026749610900879,5064.919999999999
350-6,350,0.6162779331207275,4600.021302130213
350-7,350,0.6436221599578857,3416.5173837383736
350-8,350,0.5197081565856934,4189.313123312331
350-9,350,0.6284518241882324,4706.260344293689
350-10,350,0.6322517395019531,4142.022592259226
350-11,350,0.6433930397033691,4897.850849084908
350-12,350,0.6488180160522461,4279.564782478247
350-13,350,0.7041928768157959,5101.018001800179
350-14,350,0.6936049461364746,3563.2828806584357
350-15,350,0.6653120517730713,5196.109382716049
350-16,350,0.6212890148162842,4337.886792679267
350-17,350,0.6302647590637207,4337.886792679267
350-18,350,0.6399388313293457,4402.279231923192
350-19,350,0.6056540012359619,5183.789780978097
350-20,350,0.051718950271606445,5304.72117611761
350-21,350,0.6258301734924316,4279.564782478247
350-22,350,0.6477279663085938,4501.544362139917
350-23,350,0.3946878910064697,5610.44
350-24,350,0.693422794342041,4037.6355535553557
350-25,350,0.13229918479919434,6059.144254425442
350-26,350,0.6265871524810791,4473.411276807681
350-27,350,0.6133689880371094,4170.955481548154
350-28,350,0.056304931640625,4661.931743174318
350-29,350,0.5713703632354736,3553.158247824782
350-30,350,0.6189041137695312,4601.875020576132
