Experiment ID,Number of Ants,Execution Time (seconds),Time Cost (seconds)
350-1,350,0.6543171405792236,2331.1103390339035
350-2,350,0.553001880645752,1701.2259645964596
350-3,350,0.48276305198669434,2470.6296609660967
350-4,350,0.6266179084777832,1493.3117611761177
350-5,350,0.6249828338623047,2461.794362139918
350-6,350,0.6333911418914795,1592.1704525267342
350-7,350,0.6330239772796631,2340.7457305730572
350-8,350,0.6311240196228027,1708.4813333333332
350-9,350,0.612175703048706,1627.1863374485597
350-10,350,0.6535427570343018,2071.449677287729
350-11,350,0.6074461936950684,2372.562772277228
350-12,350,0.6240179538726807,2697.4066666666668
350-13,350,0.6514270305633545,2526.517685448545
350-14,350,0.6451101303100586,1544.5482088208819
350-15,350,0.631953239440918,2833.8763336333636
350-16,350,0.6514837741851807,2427.0547314731475
350-17,350,0.32637906074523926,2340.7457305730572
350-18,350,0.6280391216278076,2915.0160996099603
350-19,350,0.6173379421234131,1488.9514491449145
350-20,350,0.627133846282959,1958.8704938271603
350-21,350,0.6245870590209961,2850.159927572017
350-22,350,0.21639132499694824,1655.099463020376
350-23,350,0.6122102737426758,2426.7727572016465
350-24,350,0.5523667335510254,1741.3275127512752
350-25,350,0.6116940975189209,1606.9082328232823
350-26,350,0.6753761768341064,1570.09501350135
350-27,350,0.6293818950653076,2673.0562916291638
350-28,350,0.6302459239959717,1790.14
350-29,350,0.6217837333679199,2861.3493549354935
350-30,350,0.5591521263122559,2318.54395439544
